Kreisfreie Stadt: Stadt Erfurt;;;;
;;;;
Bundestagswahl 2017;;;;
Wahlbeteiligung in % der Wahlberechtigten;;;;
2017: Wahltag: 24. September;;;;
Merkmal;;;Einheit;2017
Wahlberechtigte;;;Personen;166560
Wähler;;;Personen;125934
Wahlbeteiligung;;;%;75,6
Gültige Zweitstimmen;;;Anzahl;124352
Von den gültigen Zweitstimmen entfielen auf;CDU;;Anzahl;31301
;;;%;25,2
;SPD;;Anzahl;17867
;;;%;14,4
;DIE LINKE;;Anzahl;24389
;;;%;19,6
;GRÜNE;;Anzahl;8762
;;;%;7
;FDP;;Anzahl;10667
;;;%;8,6
;AfD;;Anzahl;23041
;;;%;18,5
;Sonstige;;Anzahl;8325
;;;%;6,7
Von den Sonstigen entfielen auf;NPD;;Anzahl;816
;;;%;0,7
;PIRATEN;;Anzahl;904
;;;%;0,7
;Freie Wähler;;Anzahl;1204
;;;%;1
;ÖDP/Familie ..;;Anzahl;807
;;;%;0,6
;MLPD;;Anzahl;195
;;;%;0,2
;BGE;;Anzahl;600
;;;%;0,5
;DM;;Anzahl;536
;;;%;0,4
;DIE PARTEI;;Anzahl;2844
;;;%;2,3
;V-Partei_;;Anzahl;419
;;;%;0,3
;;;;
erstellt am 26.06.2020 11:30 Uhr;;;;
Copyright © Thüringer Landesamt für Statistik, Europaplatz 3, 99091 Erfurt - Postfach 900163, 99104 Erfurt;;;;