GebietsartschlÌ_ssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im WÌ_hlerverzeichnis;WÌ_hler gesamt;WÌ_hler mit Wahlschein;UngÌ_ltige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÌÏNE;Anteil GRÌÏNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÌãHLER;Anteil FREIE WÌãHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÌÐDP;Anteil ÌÐDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BÌ_So;Anteil BÌ_So;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Parteiå_;Anteil V-Parteiå_
BTSB;1;11;13614;7831;5783;0;5681;110;12;1544;27,24%;800;14,11%;1177;20,76%;1121;19,77%;338;5,96%;482;8,50%;24;0,42%;13;0,23%;36;0,64%;6;0,11%;5;0,09%;39;0,69%;2;0,04%;1;0,02%;14;0,25%;16;0,28%;1;0,02%;5;0,09%;32;0,56%;4;0,07%;9;0,16%
BTSB;2;11;32221;19049;13167;5;14153;272;52;3015;21,38%;2151;15,25%;3746;26,57%;2159;15,31%;717;5,08%;1630;11,56%;64;0,45%;59;0,42%;77;0,55%;42;0,30%;5;0,04%;71;0,50%;9;0,06%;3;0,02%;43;0,30%;81;0,57%;3;0,02%;18;0,13%;177;1,26%;5;0,04%;26;0,18%
BTSB;3;11;34632;19983;14645;4;14899;355;36;3564;23,98%;2282;15,35%;3324;22,36%;2608;17,55%;874;5,88%;1537;10,34%;96;0,65%;57;0,38%;97;0,65%;29;0,20%;6;0,04%;86;0,58%;11;0,07%;1;0,01%;28;0,19%;34;0,23%;1;0,01%;28;0,19%;163;1,10%;6;0,04%;31;0,21%
BTSB;4;11;45881;27631;18249;1;20507;358;68;4829;23,63%;3571;17,47%;4504;22,04%;3150;15,41%;1395;6,83%;2080;10,18%;136;0,67%;66;0,32%;161;0,79%;61;0,30%;17;0,08%;120;0,59%;10;0,05%;5;0,02%;35;0,17%;67;0,33%;3;0,01%;15;0,07%;176;0,86%;9;0,04%;29;0,14%
BTSB;5;11;39651;23853;15797;1;17810;362;64;3730;21,02%;2976;16,77%;4508;25,40%;2342;13,20%;1019;5,74%;2203;12,41%;126;0,71%;92;0,52%;143;0,81%;66;0,37%;6;0,03%;126;0,71%;7;0,04%;6;0,03%;51;0,29%;59;0,33%;4;0,02%;22;0,12%;211;1,19%;16;0,09%;33;0,19%
BTSB;6;11;25650;16150;9498;2;11679;170;52;2523;21,70%;2132;18,34%;2706;23,27%;1290;11,09%;864;7,43%;1433;12,32%;87;0,75%;46;0,40%;79;0,68%;50;0,43%;8;0,07%;100;0,86%;7;0,06%;3;0,03%;41;0,35%;55;0,47%;3;0,03%;24;0,21%;152;1,31%;10;0,09%;14;0,12%
BTSB;7;11;35813;23377;12436;0;16076;163;74;4439;27,74%;2879;17,99%;2757;17,23%;1950;12,19%;1484;9,27%;1484;9,27%;164;1,02%;101;0,63%;136;0,85%;83;0,52%;17;0,11%;154;0,96%;5;0,03%;5;0,03%;32;0,20%;69;0,43%;1;0,01%;13;0,08%;177;1,11%;19;0,12%;33;0,21%
BTSB;8;11;16391;10667;5724;0;7574;144;50;1456;19,35%;1344;17,86%;1882;25,01%;792;10,53%;501;6,66%;1066;14,17%;58;0,77%;46;0,61%;51;0,68%;29;0,39%;6;0,08%;75;1,00%;3;0,04%;4;0,05%;20;0,27%;45;0,60%;1;0,01%;17;0,23%;103;1,37%;6;0,08%;19;0,25%
BTSB;9;11;63111;38527;24580;4;28092;474;101;7019;25,08%;4841;17,29%;5792;20,69%;3640;13,00%;2238;8,00%;2968;10,60%;203;0,73%;114;0,41%;246;0,88%;137;0,49%;23;0,08%;206;0,74%;5;0,02%;9;0,03%;74;0,26%;77;0,28%;7;0,03%;40;0,14%;277;0,99%;28;0,10%;47;0,17%
BTSB;10;11;30732;20834;9897;1;13749;133;66;3975;29,05%;2655;19,40%;1857;13,57%;1564;11,43%;1630;11,91%;1117;8,16%;157;1,15%;62;0,45%;109;0,80%;114;0,83%;9;0,07%;140;1,02%;6;0,04%;6;0,04%;27;0,20%;32;0,23%;7;0,05%;19;0,14%;140;1,02%;28;0,20%;29;0,21%
BTSB;11;11;36441;26135;10306;0;15696;200;114;4089;26,24%;3270;20,99%;1984;12,73%;1626;10,44%;1989;12,76%;1545;9,92%;215;1,38%;95;0,61%;125;0,80%;92;0,59%;17;0,11%;170;1,09%;13;0,08%;1;0,01%;39;0,25%;47;0,30%;3;0,02%;49;0,31%;164;1,05%;21;0,13%;28;0,18%
BTSB;12;11;45689;28449;17238;2;19764;285;89;5330;27,09%;3270;16,62%;3423;17,40%;3089;15,70%;1802;9,16%;1726;8,77%;159;0,81%;90;0,46%;153;0,78%;96;0,49%;15;0,08%;119;0,60%;6;0,03%;4;0,02%;37;0,19%;80;0,41%;9;0,05%;25;0,13%;193;0,98%;11;0,06%;38;0,19%
BTSB;13;11;55239;34017;21221;1;24838;341;90;7788;31,47%;3933;15,89%;3760;15,19%;4135;16,71%;2307;9,32%;1705;6,89%;206;0,83%;88;0,36%;177;0,72%;100;0,40%;19;0,08%;161;0,65%;8;0,03%;3;0,01%;40;0,16%;64;0,26%;1;0,00%;36;0,15%;162;0,65%;14;0,06%;41;0,17%
BTSB;14;11;25719;17246;8473;0;10904;78;57;2940;27,10%;2074;19,12%;1571;14,48%;1215;11,20%;1341;12,36%;1041;9,60%;144;1,33%;50;0,46%;68;0,63%;71;0,65%;10;0,09%;101;0,93%;7;0,06%;7;0,06%;16;0,15%;24;0,22%;5;0,05%;23;0,21%;105;0,97%;13;0,12%;21;0,19%
BTSB;15;11;43154;28730;14424;0;21127;184;87;7269;34,55%;3286;15,62%;3076;14,62%;2902;13,79%;2021;9,61%;1338;6,36%;255;1,21%;102;0,48%;165;0,78%;103;0,49%;18;0,09%;172;0,82%;10;0,05%;5;0,02%;34;0,16%;55;0,26%;6;0,03%;24;0,11%;154;0,73%;14;0,07%;31;0,15%
BTSB;16;11;61792;43009;18780;3;27197;241;179;8130;30,09%;5293;19,59%;3434;12,71%;2841;10,52%;3285;12,16%;2329;8,62%;335;1,24%;174;0,64%;207;0,77%;175;0,65%;39;0,14%;234;0,87%;23;0,09%;7;0,03%;47;0,17%;75;0,28%;9;0,03%;76;0,28%;238;0,88%;25;0,09%;42;0,16%
BTSB;17;11;31409;20722;10684;3;13781;174;87;3318;24,23%;2591;18,92%;2416;17,64%;1467;10,71%;1372;10,02%;1589;11,60%;166;1,21%;72;0,53%;101;0,74%;84;0,61%;20;0,15%;115;0,84%;24;0,18%;6;0,04%;33;0,24%;43;0,31%;4;0,03%;36;0,26%;184;1,34%;12;0,09%;41;0,30%
BTSB;18;11;34561;21448;13110;3;15309;241;55;4034;26,45%;2374;15,56%;3164;20,74%;1982;12,99%;1274;8,35%;1566;10,27%;134;0,88%;75;0,49%;139;0,91%;54;0,35%;14;0,09%;134;0,88%;9;0,06%;4;0,03%;46;0,30%;61;0,40%;6;0,04%;27;0,18%;124;0,81%;13;0,09%;20;0,13%
BTSB;19;11;58982;37732;21248;2;26846;318;141;8178;30,62%;4439;16,62%;4038;15,12%;3831;14,35%;2817;10,55%;2024;7,58%;265;0,99%;108;0,40%;222;0,83%;137;0,51%;20;0,07%;203;0,76%;3;0,01%;8;0,03%;36;0,13%;58;0,22%;6;0,02%;22;0,08%;224;0,84%;22;0,08%;44;0,16%
BTSB;20;11;30310;20351;9958;1;14382;126;75;4560;31,87%;2458;17,18%;1986;13,88%;1795;12,55%;1491;10,42%;1160;8,11%;153;1,07%;70;0,49%;116;0,81%;93;0,65%;10;0,07%;127;0,89%;7;0,05%;6;0,04%;27;0,19%;56;0,39%;2;0,01%;23;0,16%;134;0,94%;15;0,10%;18;0,13%
BTSB;21;11;46944;30073;16870;1;22327;221;96;6792;30,55%;3679;16,55%;3880;17,45%;3140;14,12%;1986;8,93%;1648;7,41%;186;0,84%;70;0,31%;196;0,88%;110;0,49%;16;0,07%;155;0,70%;5;0,02%;8;0,04%;34;0,15%;73;0,33%;7;0,03%;27;0,12%;167;0,75%;25;0,11%;27;0,12%
BTSB;22;11;27150;18999;8151;0;13191;115;96;4483;34,23%;2253;17,21%;1572;12,00%;1482;11,32%;1561;11,92%;923;7,05%;155;1,18%;80;0,61%;112;0,86%;108;0,82%;23;0,18%;114;0,87%;4;0,03%;7;0,05%;12;0,09%;42;0,32%;8;0,06%;28;0,21%;85;0,65%;16;0,12%;27;0,21%
BTSB;23;11;20349;13382;6967;0;9942;108;41;3636;36,72%;1611;16,27%;1279;12,92%;1239;12,51%;1007;10,17%;590;5,96%;92;0,93%;43;0,43%;82;0,83%;83;0,84%;11;0,11%;66;0,67%;1;0,01%;6;0,06%;15;0,15%;25;0,25%;0;0,00%;21;0,21%;75;0,76%;6;0,06%;13;0,13%
BTSB;24;11;33061;23751;9310;0;14993;123;117;4641;31,20%;2732;18,37%;1630;10,96%;1636;11,00%;2184;14,68%;1151;7,74%;183;1,23%;73;0,49%;93;0,63%;127;0,85%;27;0,18%;120;0,81%;6;0,04%;12;0,08%;34;0,23%;41;0,28%;5;0,03%;34;0,23%;108;0,73%;21;0,14%;18;0,12%
BTSB;25;11;35116;22797;12317;2;15696;304;94;4323;27,71%;2781;17,82%;2626;16,83%;1694;10,86%;1533;9,83%;1598;10,24%;185;1,19%;75;0,48%;137;0,88%;103;0,66%;21;0,13%;153;0,98%;7;0,04%;8;0,05%;21;0,13%;57;0,37%;11;0,07%;20;0,13%;203;1,30%;17;0,11%;29;0,19%
BTSB;162;11;923612;594743;328833;36;416213;5600;1993;115605;27,91%;71675;17,30%;72092;17,40%;54690;13,20%;39030;9,42%;37933;9,16%;3948;0,95%;1921;0,46%;3228;0,78%;2153;0,52%;382;0,09%;3261;0,79%;198;0,05%;135;0,03%;836;0,20%;1336;0,32%;113;0,03%;672;0,16%;3928;0,95%;376;0,09%;708;0,17%
BTSB;1;21;13614;7831;5783;0;5389;5389;13;1836;34,15%;589;10,96%;912;16,96%;1301;24,20%;201;3,74%;323;6,01%;35;0,65%;10;0,19%;44;0,82%;12;0,22%;0;0,00%;27;0,50%;1;0,02%;0;0,00%;11;0,20%;13;0,24%;1;0,02%;2;0,04%;44;0,82%;2;0,04%;12;0,22%
BTSB;2;21;32221;19049;13167;5;12312;12312;30;3200;26,05%;1541;12,55%;3013;24,53%;2271;18,49%;463;3,77%;1188;9,67%;81;0,66%;47;0,38%;63;0,51%;21;0,17%;5;0,04%;74;0,60%;4;0,03%;3;0,02%;39;0,32%;66;0,54%;5;0,04%;6;0,05%;155;1,26%;6;0,05%;31;0,25%
BTSB;3;21;34632;19983;14645;4;13623;13623;19;3897;28,65%;1775;13,05%;2904;21,35%;2844;20,91%;560;4,12%;986;7,25%;103;0,76%;46;0,34%;130;0,96%;27;0,20%;5;0,04%;72;0,53%;3;0,02%;3;0,02%;22;0,16%;57;0,42%;2;0,01%;11;0,08%;116;0,85%;8;0,06%;33;0,24%
BTSB;4;21;45881;27631;18249;1;17116;17116;38;5014;29,36%;2602;15,24%;3436;20,12%;3074;18,00%;820;4,80%;1245;7,29%;158;0,93%;75;0,44%;151;0,88%;47;0,28%;5;0,03%;124;0,73%;7;0,04%;2;0,01%;53;0,31%;58;0,34%;3;0,02%;14;0,08%;131;0,77%;18;0,11%;41;0,24%
BTSB;5;21;39651;23853;15797;1;14573;14573;51;3855;26,55%;2040;14,05%;3525;24,27%;2328;16,03%;665;4,58%;1278;8,80%;122;0,84%;54;0,37%;144;0,99%;44;0,30%;11;0,08%;120;0,83%;7;0,05%;3;0,02%;29;0,20%;73;0,50%;11;0,08%;17;0,12%;155;1,07%;9;0,06%;32;0,22%
BTSB;6;21;25650;16150;9498;2;8939;8939;20;2407;26,99%;1350;15,14%;2007;22,50%;1099;12,32%;521;5,84%;919;10,30%;125;1,40%;36;0,40%;75;0,84%;38;0,43%;7;0,08%;91;1,02%;5;0,06%;1;0,01%;29;0,33%;55;0,62%;3;0,03%;13;0,15%;102;1,14%;8;0,09%;28;0,31%
BTSB;7;21;35813;23377;12436;0;11734;11734;28;3829;32,71%;1872;15,99%;2002;17,10%;1513;12,93%;860;7,35%;885;7,56%;158;1,35%;42;0,36%;115;0,98%;65;0,56%;10;0,09%;115;0,98%;3;0,03%;1;0,01%;25;0,21%;51;0,44%;0;0,00%;7;0,06%;126;1,08%;14;0,12%;13;0,11%
BTSB;8;21;16391;10667;5724;0;5321;5321;13;1211;22,81%;793;14,94%;1319;24,85%;719;13,55%;255;4,80%;632;11,91%;59;1,11%;36;0,68%;39;0,73%;18;0,34%;7;0,13%;52;0,98%;1;0,02%;3;0,06%;15;0,28%;45;0,85%;2;0,04%;6;0,11%;77;1,45%;4;0,08%;15;0,28%
BTSB;9;21;63111;38527;24580;4;23046;23046;67;7061;30,73%;3467;15,09%;4385;19,08%;3612;15,72%;1311;5,71%;1765;7,68%;280;1,22%;78;0,34%;246;1,07%;108;0,47%;10;0,04%;203;0,88%;2;0,01%;9;0,04%;46;0,20%;94;0,41%;2;0,01%;30;0,13%;189;0,82%;24;0,10%;57;0,25%
BTSB;10;21;30732;20834;9897;1;9318;9318;32;3134;33,75%;1501;16,16%;1238;13,33%;1215;13,08%;884;9,52%;663;7,14%;155;1,67%;38;0,41%;89;0,96%;78;0,84%;12;0,13%;101;1,09%;2;0,02%;0;0,00%;22;0,24%;22;0,24%;0;0,00%;17;0,18%;83;0,89%;12;0,13%;20;0,22%
BTSB;11;21;36441;26135;10306;0;9645;9645;32;3039;31,61%;1608;16,73%;1407;14,64%;1308;13,61%;839;8,73%;717;7,46%;141;1,47%;54;0,56%;103;1,07%;74;0,77%;8;0,08%;91;0,95%;7;0,07%;1;0,01%;22;0,23%;35;0,36%;3;0,03%;17;0,18%;110;1,14%;10;0,10%;19;0,20%
